id;Cod_Municipio;Municipio;long;lat;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996
30031 Oj¢s;30031 ;Oj¢s;-1.356668847;38.1159791;500;494;497;504;518;531;562;610;582;584;604;626;559;571;601;609;574;584;593;589;594; ;608;262;268;266;270;285;295;311;330;310;305;310;317;287;292;302;300;296;298;300;292;293; ;303;238;226;231;234;233;236;251;280;272;279;294;309;272;279;299;309;278;286;293;297;301; ;305
30032 Pliego;30032 ;Pliego;-1.5188873;37.98249389;3,842;3,873;3,933;3,973;3,937;3,901;4,051;4,027;4,045;4,034;4,032;3,864;3,713;3,622;3,507;3,464;3,417;3,432;3,409;3,401;3,383; ;3,373;1,989;2,008;2,031;2,050;2,029;2,009;2,093;2,083;2,099;2,088;2,096;2,012;1,939;1,897;1,816;1,803;1,755;1,765;1,746;1,742;1,729; ;1,723;1,853;1,865;1,902;1,923;1,908;1,892;1,958;1,944;1,946;1,946;1,936;1,852;1,774;1,725;1,691;1,661;1,662;1,667;1,663;1,659;1,654; ;1,650
30033 Puerto Lumbreras;30033 ;Puerto Lumbreras;-1.807131551;37.55410373;14,981;15,020;14,874;14,694;14,610;14,564;14,742;14,339;14,120;13,947;13,612;12,964;12,881;12,487;12,037;11,794;11,439;11,069;10,859;10,658;10,585; ;10,474;7,519;7,541;7,457;7,357;7,296;7,288;7,414;7,175;7,071;7,008;6,798;6,456;6,423;6,274;6,040;5,923;5,732;5,477;5,338;5,220;5,175; ;5,091;7,462;7,479;7,417;7,337;7,314;7,276;7,328;7,164;7,049;6,939;6,814;6,508;6,458;6,213;5,997;5,871;5,707;5,592;5,521;5,438;5,410; ;5,383
30034 Ricote;30034 ;Ricote;-1.418649982;38.15797054;1,301;1,315;1,332;1,369;1,398;1,417;1,452;1,456;1,441;1,519;1,546;1,531;1,527;1,538;1,509;1,526;1,569;1,561;1,582;1,579;1,604; ;1,603;688;695;701;718;724;727;750;748;742;771;782;771;762;761;748;751;772;768;771;769;783; ;778;613;620;631;651;674;690;702;708;699;748;764;760;765;777;761;775;797;793;811;810;821; ;825
30035 San Javier;30035 ;San Javier;-0.77004994;37.76341099;31,905;31,695;31,782;31,915;31,988;32,786;32,641;32,366;31,820;31,432;30,653;29,167;27,622;26,337;24,686;23,481;21,782;20,402;18,925;18,267;17,523; ;16,773;16,033;15,960;16,030;16,167;16,262;16,734;16,706;16,564;16,264;16,114;15,808;15,039;14,280;13,660;12,766;12,196;11,200;10,486;9,550;9,242;8,923; ;8,561;15,872;15,735;15,752;15,748;15,726;16,052;15,935;15,802;15,556;15,318;14,845;14,128;13,342;12,677;11,920;11,285;10,582;9,916;9,375;9,025;8,600; ;8,212
30036 San Pedro del Pinatar;30036 ;San Pedro del Pinatar;-0.777358935;37.82642494;25,167;24,903;24,660;24,339;24,091;24,102;24,285;24,093;23,903;23,738;23,272;22,217;21,234;19,666;18,746;18,279;17,199;16,269;15,583;15,008;14,487; ;13,644;12,733;12,590;12,441;12,293;12,175;12,186;12,297;12,167;12,128;12,053;11,888;11,342;10,834;9,923;9,470;9,288;8,675;8,138;7,685;7,409;7,147; ;6,704;12,434;12,313;12,219;12,046;11,916;11,916;11,988;11,926;11,775;11,685;11,384;10,875;10,400;9,743;9,276;8,991;8,524;8,131;7,898;7,599;7,340; ;6,940
30901 Santomera;30901 ;Santomera;-1.068921593;38.0890596;16,105;16,058;15,952;16,012;15,860;15,793;15,709;15,649;15,481;15,319;14,948;14,323;13,919;13,417;12,777;12,434;12,131;11,566;10,972;10,594;10,306; ;9,978;8,093;8,120;8,081;8,157;8,055;8,024;7,983;7,975;7,872;7,778;7,605;7,307;7,094;6,812;6,460;6,294;6,146;5,831;5,490;5,310;5,174; ;4,996;8,012;7,938;7,871;7,855;7,805;7,769;7,726;7,674;7,609;7,541;7,343;7,016;6,825;6,605;6,317;6,140;5,985;5,735;5,482;5,284;5,132; ;4,982
30037 Torre-Pacheco;30037 ;Torre-Pacheco;-0.955931041;37.79396368;35,614;35,198;34,630;34,469;34,151;33,575;33,911;33,218;32,471;31,495;30,351;29,187;28,152;27,400;26,806;27,092;25,721;24,152;22,719;21,937;21,301; ;20,345;18,542;18,381;18,039;17,975;17,789;17,521;17,728;17,415;17,046;16,592;16,099;15,634;15,059;14,658;14,439;15,025;14,327;13,405;12,499;12,030;11,633; ;10,797;17,072;16,817;16,591;16,494;16,362;16,054;16,183;15,803;15,425;14,903;14,252;13,553;13,093;12,742;12,367;12,067;11,394;10,747;10,220;9,907;9,668; ;9,548
30038 Torres de Cotillas, Las;30038 ;Torres de Cotillas, Las;-1.262736901;38.024781;21,375;21,420;21,341;21,399;21,404;21,565;21,608;21,443;21,282;21,062;20,456;19,611;18,842;18,134;17,565;17,141;16,695;16,394;16,003;15,617;15,380; ;15,093;10,868;10,884;10,809;10,854;10,895;10,992;11,046;11,041;10,972;10,892;10,598;10,061;9,645;9,266;8,955;8,732;8,501;8,318;8,076;7,821;7,705; ;7,557;10,507;10,536;10,532;10,545;10,509;10,573;10,562;10,402;10,310;10,170;9,858;9,550;9,197;8,868;8,610;8,409;8,194;8,076;7,927;7,796;7,675; ;7,536
30039 Totana;30039 ;Totana;-1.564788082;37.77888828;31,639;31,394;30,981;30,916;30,669;30,448;30,549;29,961;29,333;29,211;28,976;28,742;28,360;27,714;26,435;26,361;25,332;23,756;22,359;21,973;21,666; ;21,441;16,299;16,154;15,962;15,924;15,790;15,658;15,740;15,451;15,123;15,059;14,997;14,871;14,716;14,360;13,627;13,747;13,157;12,223;11,314;11,056;10,882; ;10,718;15,340;15,240;15,019;14,992;14,879;14,790;14,809;14,510;14,210;14,152;13,979;13,871;13,644;13,354;12,808;12,614;12,175;11,533;11,045;10,917;10,784; ;10,723
